depdom,ADEC,MDEC,JDEC,dc_j
01,2018,9,10,15
01,2018,9,11,11
01,2018,9,12,17
01,2018,9,13,14
01,2018,9,14,12
01,2018,9,15,8
01,2018,9,16,9
01,2018,9,17,14
01,2018,9,18,17
01,2018,9,19,11
01,2018,9,20,23
01,2018,9,21,22
01,2018,9,22,14
01,2018,9,23,16
01,2018,9,24,11
01,2018,9,25,11
01,2018,9,26,11
01,2018,9,27,15
01,2018,9,28,15
01,2018,9,29,14
01,2018,9,30,17
01,2018,10,1,9
01,2018,10,2,9
01,2018,10,3,11
01,2018,10,4,11
01,2018,10,5,16
01,2018,10,6,13
01,2018,10,7,9
01,2018,10,8,6
01,2018,10,9,16
01,2018,10,10,12
01,2018,10,11,12
01,2018,10,12,10
01,2018,10,13,17
01,2018,10,14,15
01,2018,10,15,11
01,2018,10,16,18
01,2018,10,17,19
01,2018,10,18,8
01,2018,10,19,7
01,2018,10,20,14
01,2018,10,21,10
01,2018,10,22,10
01,2018,10,23,10
01,2018,10,24,14
01,2018,10,25,20
01,2018,10,26,10
01,2018,10,27,15
01,2018,10,28,16
01,2018,10,29,19
01,2018,10,30,11
01,2018,10,31,14
01,2018,11,1,21
01,2018,11,2,7
01,2018,11,3,11
01,2018,11,4,13
01,2018,11,5,19
01,2018,11,6,14
01,2018,11,7,16
01,2018,11,8,17
01,2018,11,9,11
01,2018,11,10,18
01,2018,11,11,10
01,2018,11,12,19
01,2018,11,13,19
01,2018,11,14,12
01,2018,11,15,9
01,2018,11,16,14
01,2018,11,17,13
01,2018,11,18,17
01,2018,11,19,13
01,2018,11,20,12
01,2018,11,21,12
01,2018,11,22,19
01,2018,11,23,8
01,2018,11,24,11
01,2018,11,25,9
01,2018,11,26,10
01,2018,11,27,12
01,2018,11,28,8
01,2018,11,29,13
01,2018,11,30,15
01,2018,12,1,11
01,2018,12,2,6
01,2018,12,3,15
01,2018,12,4,18
01,2018,12,5,17
01,2018,12,6,13
01,2018,12,7,9
01,2018,12,8,9
01,2018,12,9,19
01,2018,12,10,13
01,2018,12,11,17
01,2018,12,12,11
01,2018,12,13,14
01,2018,12,14,10
01,2018,12,15,13
01,2018,12,16,11
01,2018,12,17,18
01,2018,12,18,22
01,2018,12,19,18
01,2018,12,20,11
01,2018,12,21,12
01,2018,12,22,10
01,2018,12,23,14
01,2018,12,24,19
01,2018,12,25,9
01,2018,12,26,18
01,2018,12,27,16
01,2018,12,28,15
01,2018,12,29,14
01,2018,12,30,17
01,2018,12,31,16
01,2019,1,1,15
01,2019,1,2,10
01,2019,1,3,15
01,2019,1,4,16
01,2019,1,5,15
01,2019,1,6,21
01,2019,1,7,21
